bp mp dr ps lb sft
2 4 2 more big 1 unacc
2 4 2 more big 2 acc
2 4 2 more big 3 acc
2 4 3 2 small 1 unacc
2 4 3 2 small 2 unacc
2 4 3 2 small 3 unacc
2 4 3 2 2 1 unacc
2 4 3 2 2 2 unacc
2 4 3 2 2 3 unacc
2 4 3 2 big 1 unacc
2 4 3 2 big 2 unacc
2 4 3 2 big 3 unacc
2 4 3 4 small 1 unacc
2 4 3 4 small 2 unacc
2 4 3 4 small 3 acc
2 4 3 4 2 1 unacc
2 4 3 4 2 2 unacc
2 4 3 4 2 3 acc
2 4 3 4 big 1 unacc
2 4 3 4 big 2 acc
2 4 3 4 big 3 acc
2 4 3 more small 1 unacc
2 4 3 more small 2 unacc
2 4 3 more small 3 acc
2 4 3 more 2 1 unacc
2 4 3 more 2 2 acc
2 4 3 more 2 3 acc
2 4 3 more big 1 unacc
2 4 3 more big 2 acc
2 4 3 more big 3 acc
2 4 4 2 small 1 unacc
2 4 4 2 small 2 unacc
2 4 4 2 small 3 unacc
2 4 4 2 2 1 unacc
2 4 4 2 2 2 unacc
2 4 4 2 2 3 unacc
2 4 4 2 big 1 unacc
2 4 4 2 big 2 unacc
2 4 4 2 big 3 unacc
2 4 4 4 small 1 unacc
2 4 4 4 small 2 unacc
2 4 4 4 small 3 acc
2 4 4 4 2 1 unacc
2 4 4 4 2 2 acc
2 4 4 4 2 3 acc
2 4 4 4 big 1 unacc
2 4 4 4 big 2 acc
2 4 4 4 big 3 acc
2 4 4 more small 1 unacc
2 4 4 more small 2 unacc
2 4 4 more small 3 acc
2 4 4 more 2 1 unacc
2 4 4 more 2 2 acc
2 4 4 more 2 3 acc
2 4 4 more big 1 unacc
2 4 4 more big 2 acc
2 4 4 more big 3 acc
2 4 5more 2 small 1 unacc
2 4 5more 2 small 2 unacc
2 4 5more 2 small 3 unacc
2 4 5more 2 2 1 unacc
2 4 5more 2 2 2 unacc
2 4 5more 2 2 3 unacc
2 4 5more 2 big 1 unacc
2 4 5more 2 big 2 unacc
2 4 5more 2 big 3 unacc
2 4 5more 4 small 1 unacc
2 4 5more 4 small 2 unacc
2 4 5more 4 small 3 acc
2 4 5more 4 2 1 unacc
2 4 5more 4 2 2 acc
2 4 5more 4 2 3 acc
2 4 5more 4 big 1 unacc
2 4 5more 4 big 2 acc
2 4 5more 4 big 3 acc
2 4 5more more small 1 unacc
2 4 5more more small 2 unacc
2 4 5more more small 3 acc
2 4 5more more 2 1 unacc
2 4 5more more 2 2 acc
2 4 5more more 2 3 acc
2 4 5more more big 1 unacc
2 4 5more more big 2 acc
2 4 5more more big 3 acc
2 3 2 2 small 1 unacc
2 3 2 2 small 2 unacc
2 3 2 2 small 3 unacc
2 3 2 2 2 1 unacc
2 3 2 2 2 2 unacc
2 3 2 2 2 3 unacc
2 3 2 2 big 1 unacc
2 3 2 2 big 2 unacc
2 3 2 2 big 3 unacc
2 3 2 4 small 1 unacc
2 3 2 4 small 2 unacc
2 3 2 4 small 3 acc
2 3 2 4 2 1 unacc
2 3 2 4 2 2 unacc
2 3 2 4 2 3 acc
2 3 2 4 big 1 unacc
2 3 2 4 big 2 acc
2 3 2 4 big 3 acc
2 3 2 more small 1 unacc
2 3 2 more small 2 unacc
2 3 2 more small 3 unacc
2 3 2 more 2 1 unacc
2 3 2 more 2 2 unacc
2 3 2 more 2 3 acc
2 3 2 more big 1 unacc
2 3 2 more big 2 acc
2 3 2 more big 3 acc
2 3 3 2 small 1 unacc
2 3 3 2 small 2 unacc
2 3 3 2 small 3 unacc
2 3 3 2 2 1 unacc
2 3 3 2 2 2 unacc
2 3 3 2 2 3 unacc
2 3 3 2 big 1 unacc
2 3 3 2 big 2 unacc
2 3 3 2 big 3 unacc
2 3 3 4 small 1 unacc
2 3 3 4 small 2 unacc
2 3 3 4 small 3 acc
2 3 3 4 2 1 unacc
2 3 3 4 2 2 unacc
2 3 3 4 2 3 acc
2 3 3 4 big 1 unacc
2 3 3 4 big 2 acc
2 3 3 4 big 3 acc
2 3 3 more small 1 unacc
2 3 3 more small 2 unacc
2 3 3 more small 3 acc
2 3 3 more 2 1 unacc
2 3 3 more 2 2 acc
2 3 3 more 2 3 acc
2 3 3 more big 1 unacc
2 3 3 more big 2 acc
2 3 3 more big 3 acc
2 3 4 2 small 1 unacc
2 3 4 2 small 2 unacc
2 3 4 2 small 3 unacc
2 3 4 2 2 1 unacc
2 3 4 2 2 2 unacc
2 3 4 2 2 3 unacc
2 3 4 2 big 1 unacc
2 3 4 2 big 2 unacc
2 3 4 2 big 3 unacc
2 3 4 4 small 1 unacc
2 3 4 4 small 2 unacc
2 3 4 4 small 3 acc
2 3 4 4 2 1 unacc
2 3 4 4 2 2 acc
2 3 4 4 2 3 acc
2 3 4 4 big 1 unacc
2 3 4 4 big 2 acc
2 3 4 4 big 3 acc
2 3 4 more small 1 unacc
2 3 4 more small 2 unacc
2 3 4 more small 3 acc
2 3 4 more 2 1 unacc
2 3 4 more 2 2 acc
2 3 4 more 2 3 acc
2 3 4 more big 1 unacc
2 3 4 more big 2 acc
2 3 4 more big 3 acc
2 3 5more 2 small 1 unacc
2 3 5more 2 small 2 unacc
2 3 5more 2 small 3 unacc
2 3 5more 2 2 1 unacc
2 3 5more 2 2 2 unacc
2 3 5more 2 2 3 unacc
2 3 5more 2 big 1 unacc
2 3 5more 2 big 2 unacc
2 3 5more 2 big 3 unacc
2 3 5more 4 small 1 unacc
2 3 5more 4 small 2 unacc
2 3 5more 4 small 3 acc
2 3 5more 4 2 1 unacc
2 3 5more 4 2 2 acc
2 3 5more 4 2 3 acc
2 3 5more 4 big 1 unacc
2 3 5more 4 big 2 acc
2 3 5more 4 big 3 acc
2 3 5more more small 1 unacc
2 3 5more more small 2 unacc
2 3 5more more small 3 acc
2 3 5more more 2 1 unacc
2 3 5more more 2 2 acc
2 3 5more more 2 3 acc
2 3 5more more big 1 unacc
2 3 5more more big 2 acc
2 3 5more more big 3 acc
2 2 2 2 small 1 unacc
2 2 2 2 small 2 unacc
2 2 2 2 small 3 unacc
2 2 2 2 2 1 unacc
2 2 2 2 2 2 unacc
2 2 2 2 2 3 unacc
2 2 2 2 big 1 unacc
2 2 2 2 big 2 unacc
2 2 2 2 big 3 unacc
2 2 2 4 small 1 unacc
2 2 2 4 small 2 acc
2 2 2 4 small 3 acc
2 2 2 4 2 1 unacc
2 2 2 4 2 2 acc
2 2 2 4 2 3 acc
2 2 2 4 big 1 unacc
2 2 2 4 big 2 acc
2 2 2 4 big 3 vgood
2 2 2 more small 1 unacc
2 2 2 more small 2 unacc
2 2 2 more small 3 unacc
2 2 2 more 2 1 unacc
2 2 2 more 2 2 acc
2 2 2 more 2 3 acc
2 2 2 more big 1 unacc
2 2 2 more big 2 acc
2 2 2 more big 3 vgood
2 2 3 2 small 1 unacc
2 2 3 2 small 2 unacc
2 2 3 2 small 3 unacc
2 2 3 2 2 1 unacc
2 2 3 2 2 2 unacc
2 2 3 2 2 3 unacc
2 2 3 2 big 1 unacc
2 2 3 2 big 2 unacc
2 2 3 2 big 3 unacc
2 2 3 4 small 1 unacc
2 2 3 4 small 2 acc
2 2 3 4 small 3 acc
2 2 3 4 2 1 unacc
2 2 3 4 2 2 acc
2 2 3 4 2 3 acc
2 2 3 4 big 1 unacc
2 2 3 4 big 2 acc
2 2 3 4 big 3 vgood
2 2 3 more small 1 unacc
2 2 3 more small 2 acc
2 2 3 more small 3 acc
2 2 3 more 2 1 unacc
2 2 3 more 2 2 acc
2 2 3 more 2 3 vgood
2 2 3 more big 1 unacc
2 2 3 more big 2 acc
2 2 3 more big 3 vgood
2 2 4 2 small 1 unacc
2 2 4 2 small 2 unacc
2 2 4 2 small 3 unacc
2 2 4 2 2 1 unacc
2 2 4 2 2 2 unacc
2 2 4 2 2 3 unacc
2 2 4 2 big 1 unacc
2 2 4 2 big 2 unacc
2 2 4 2 big 3 unacc
2 2 4 4 small 1 unacc
2 2 4 4 small 2 acc
2 2 4 4 small 3 acc
2 2 4 4 2 1 unacc
2 2 4 4 2 2 acc
2 2 4 4 2 3 vgood
2 2 4 4 big 1 unacc
2 2 4 4 big 2 acc
2 2 4 4 big 3 vgood
2 2 4 more small 1 unacc
2 2 4 more small 2 acc
2 2 4 more small 3 acc
2 2 4 more 2 1 unacc
2 2 4 more 2 2 acc
2 2 4 more 2 3 vgood
2 2 4 more big 1 unacc
2 2 4 more big 2 acc
2 2 4 more big 3 vgood
2 2 5more 2 small 1 unacc
2 2 5more 2 small 2 unacc
2 2 5more 2 small 3 unacc
2 2 5more 2 2 1 unacc
2 2 5more 2 2 2 unacc
2 2 5more 2 2 3 unacc
2 2 5more 2 big 1 unacc
2 2 5more 2 big 2 unacc
2 2 5more 2 big 3 unacc
2 2 5more 4 small 1 unacc
2 2 5more 4 small 2 acc
2 2 5more 4 small 3 acc
2 2 5more 4 2 1 unacc
2 2 5more 4 2 2 acc
2 2 5more 4 2 3 vgood
2 2 5more 4 big 1 unacc
2 2 5more 4 big 2 acc
2 2 5more 4 big 3 vgood
2 2 5more more small 1 unacc
2 2 5more more small 2 acc
2 2 5more more small 3 acc
2 2 5more more 2 1 unacc
2 2 5more more 2 2 acc
2 2 5more more 2 3 vgood
2 2 5more more big 1 unacc
2 2 5more more big 2 acc
2 2 5more more big 3 vgood
2 1 2 2 small 1 unacc
2 1 2 2 small 2 unacc
2 1 2 2 small 3 unacc
2 1 2 2 2 1 unacc
2 1 2 2 2 2 unacc
2 1 2 2 2 3 unacc
2 1 2 2 big 1 unacc
2 1 2 2 big 2 unacc
2 1 2 2 big 3 unacc
2 1 2 4 small 1 unacc
2 1 2 4 small 2 acc
2 1 2 4 small 3 good
2 1 2 4 2 1 unacc
2 1 2 4 2 2 acc
2 1 2 4 2 3 good
2 1 2 4 big 1 unacc
2 1 2 4 big 2 good
2 1 2 4 big 3 vgood
2 1 2 more small 1 unacc
2 1 2 more small 2 unacc
2 1 2 more small 3 unacc
2 1 2 more 2 1 unacc
2 1 2 more 2 2 acc
2 1 2 more 2 3 good
2 1 2 more big 1 unacc
2 1 2 more big 2 good
2 1 2 more big 3 vgood
2 1 3 2 small 1 unacc
2 1 3 2 small 2 unacc
2 1 3 2 small 3 unacc
2 1 3 2 2 1 unacc
2 1 3 2 2 2 unacc
2 1 3 2 2 3 unacc
2 1 3 2 big 1 unacc
2 1 3 2 big 2 unacc
2 1 3 2 big 3 unacc
2 1 3 4 small 1 unacc
2 1 3 4 small 2 acc
2 1 3 4 small 3 good
2 1 3 4 2 1 unacc
2 1 3 4 2 2 acc
2 1 3 4 2 3 good
2 1 3 4 big 1 unacc
2 1 3 4 big 2 good
2 1 3 4 big 3 vgood
2 1 3 more small 1 unacc
2 1 3 more small 2 acc
2 1 3 more small 3 good
2 1 3 more 2 1 unacc
2 1 3 more 2 2 good
2 1 3 more 2 3 vgood
2 1 3 more big 1 unacc
2 1 3 more big 2 good
2 1 3 more big 3 vgood
2 1 4 2 small 1 unacc
2 1 4 2 small 2 unacc
2 1 4 2 small 3 unacc
2 1 4 2 2 1 unacc
2 1 4 2 2 2 unacc
2 1 4 2 2 3 unacc
2 1 4 2 big 1 unacc
2 1 4 2 big 2 unacc
2 1 4 2 big 3 unacc
2 1 4 4 small 1 unacc
2 1 4 4 small 2 acc
2 1 4 4 small 3 good
2 1 4 4 2 1 unacc
2 1 4 4 2 2 good
2 1 4 4 2 3 vgood
2 1 4 4 big 1 unacc
2 1 4 4 big 2 good
2 1 4 4 big 3 vgood
2 1 4 more small 1 unacc
2 1 4 more small 2 acc
2 1 4 more small 3 good
2 1 4 more 2 1 unacc
2 1 4 more 2 2 good
2 1 4 more 2 3 vgood
2 1 4 more big 1 unacc
2 1 4 more big 2 good
2 1 4 more big 3 vgood
2 1 5more 2 small 1 unacc
2 1 5more 2 small 2 unacc
2 1 5more 2 small 3 unacc
2 1 5more 2 2 1 unacc
2 1 5more 2 2 2 unacc
2 1 5more 2 2 3 unacc
2 1 5more 2 big 1 unacc
2 1 5more 2 big 2 unacc
2 1 5more 2 big 3 unacc
2 1 5more 4 small 1 unacc
2 1 5more 4 small 2 acc
2 1 5more 4 small 3 good
2 1 5more 4 2 1 unacc
2 1 5more 4 2 2 good
2 1 5more 4 2 3 vgood
2 1 5more 4 big 1 unacc
2 1 5more 4 big 2 good
2 1 5more 4 big 3 vgood
2 1 5more more small 1 unacc
2 1 5more more small 2 acc
2 1 5more more small 3 good
2 1 5more more 2 1 unacc
2 1 5more more 2 2 good
2 1 5more more 2 3 vgood
2 1 5more more big 1 unacc
2 1 5more more big 2 good
2 1 5more more big 3 vgood
1 4 2 2 small 1 unacc
1 4 2 2 small 2 unacc
1 4 2 2 small 3 unacc
1 4 2 2 2 1 unacc
1 4 2 2 2 2 unacc
1 4 2 2 2 3 unacc
1 4 2 2 big 1 unacc
1 4 2 2 big 2 unacc
1 4 2 2 big 3 unacc
1 4 2 4 small 1 unacc
1 4 2 4 small 2 unacc
1 4 2 4 small 3 acc
1 4 2 4 2 1 unacc
1 4 2 4 2 2 unacc
1 4 2 4 2 3 acc
1 4 2 4 big 1 unacc
1 4 2 4 big 2 acc
1 4 2 4 big 3 acc
1 4 2 more small 1 unacc
1 4 2 more small 2 unacc
1 4 2 more small 3 unacc
1 4 2 more 2 1 unacc
1 4 2 more 2 2 unacc
1 4 2 more 2 3 acc
1 4 2 more big 1 unacc
1 4 2 more big 2 acc
1 4 2 more big 3 acc
1 4 3 2 small 1 unacc
1 4 3 2 small 2 unacc
1 4 3 2 small 3 unacc
1 4 3 2 2 1 unacc
1 4 3 2 2 2 unacc
1 4 3 2 2 3 unacc
1 4 3 2 big 1 unacc
1 4 3 2 big 2 unacc
1 4 3 2 big 3 unacc
1 4 3 4 small 1 unacc
1 4 3 4 small 2 unacc
1 4 3 4 small 3 acc
1 4 3 4 2 1 unacc
1 4 3 4 2 2 unacc
1 4 3 4 2 3 acc
1 4 3 4 big 1 unacc
1 4 3 4 big 2 acc
1 4 3 4 big 3 acc
1 4 3 more small 1 unacc
1 4 3 more small 2 unacc
1 4 3 more small 3 acc
1 4 3 more 2 1 unacc
1 4 3 more 2 2 acc
1 4 3 more 2 3 acc
1 4 3 more big 1 unacc
1 4 3 more big 2 acc
1 4 3 more big 3 acc
1 4 4 2 small 1 unacc
1 4 4 2 small 2 unacc
1 4 4 2 small 3 unacc
1 4 4 2 2 1 unacc
1 4 4 2 2 2 unacc
1 4 4 2 2 3 unacc
1 4 4 2 big 1 unacc
1 4 4 2 big 2 unacc
1 4 4 2 big 3 unacc
1 4 4 4 small 1 unacc
1 4 4 4 small 2 unacc
1 4 4 4 small 3 acc
1 4 4 4 2 1 unacc
1 4 4 4 2 2 acc
1 4 4 4 2 3 acc
1 4 4 4 big 1 unacc
1 4 4 4 big 2 acc
1 4 4 4 big 3 acc
1 4 4 more small 1 unacc
1 4 4 more small 2 unacc
1 4 4 more small 3 acc
1 4 4 more 2 1 unacc
1 4 4 more 2 2 acc
1 4 4 more 2 3 acc
1 4 4 more big 1 unacc
1 4 4 more big 2 acc
1 4 4 more big 3 acc
1 4 5more 2 small 1 unacc
1 4 5more 2 small 2 unacc
1 4 5more 2 small 3 unacc
1 4 5more 2 2 1 unacc
1 4 5more 2 2 2 unacc
1 4 5more 2 2 3 unacc
1 4 5more 2 big 1 unacc
1 4 5more 2 big 2 unacc
1 4 5more 2 big 3 unacc
1 4 5more 4 small 1 unacc
1 4 5more 4 small 2 unacc
1 4 5more 4 small 3 acc
1 4 5more 4 2 1 unacc
1 4 5more 4 2 2 acc
1 4 5more 4 2 3 acc
1 4 5more 4 big 1 unacc
1 4 5more 4 big 2 acc
1 4 5more 4 big 3 acc
1 4 5more more small 1 unacc
1 4 5more more small 2 unacc
1 4 5more more small 3 acc
1 4 5more more 2 1 unacc
1 4 5more more 2 2 acc
1 4 5more more 2 3 acc
1 4 5more more big 1 unacc
1 4 5more more big 2 acc
1 4 5more more big 3 acc
1 3 2 2 small 1 unacc
1 3 2 2 small 2 unacc
1 3 2 2 small 3 unacc
1 3 2 2 2 1 unacc
1 3 2 2 2 2 unacc
1 3 2 2 2 3 unacc
1 3 2 2 big 1 unacc
1 3 2 2 big 2 unacc
1 3 2 2 big 3 unacc
1 3 2 4 small 1 unacc
1 3 2 4 small 2 acc
1 3 2 4 small 3 acc
1 3 2 4 2 1 unacc
1 3 2 4 2 2 acc
1 3 2 4 2 3 acc
1 3 2 4 big 1 unacc
1 3 2 4 big 2 acc
1 3 2 4 big 3 vgood
1 3 2 more small 1 unacc
1 3 2 more small 2 unacc
1 3 2 more small 3 unacc
1 3 2 more 2 1 unacc
1 3 2 more 2 2 acc
1 3 2 more 2 3 acc
1 3 2 more big 1 unacc
1 3 2 more big 2 acc
1 3 2 more big 3 vgood
1 3 3 2 small 1 unacc
1 3 3 2 small 2 unacc
1 3 3 2 small 3 unacc
1 3 3 2 2 1 unacc
1 3 3 2 2 2 unacc
1 3 3 2 2 3 unacc
1 3 3 2 big 1 unacc
1 3 3 2 big 2 unacc
1 3 3 2 big 3 unacc
1 3 3 4 small 1 unacc
1 3 3 4 small 2 acc
1 3 3 4 small 3 acc
1 3 3 4 2 1 unacc
1 3 3 4 2 2 acc
1 3 3 4 2 3 acc
1 3 3 4 big 1 unacc
1 3 3 4 big 2 acc
1 3 3 4 big 3 vgood
1 3 3 more small 1 unacc
1 3 3 more small 2 acc
1 3 3 more small 3 acc
1 3 3 more 2 1 unacc
1 3 3 more 2 2 acc
1 3 3 more 2 3 vgood
1 3 3 more big 1 unacc
1 3 3 more big 2 acc
1 3 3 more big 3 vgood
1 3 4 2 small 1 unacc
1 3 4 2 small 2 unacc
1 3 4 2 small 3 unacc
1 3 4 2 2 1 unacc
1 3 4 2 2 2 unacc
1 3 4 2 2 3 unacc
1 3 4 2 big 1 unacc
1 3 4 2 big 2 unacc
1 3 4 2 big 3 unacc
1 3 4 4 small 1 unacc
1 3 4 4 small 2 acc
1 3 4 4 small 3 acc
1 3 4 4 2 1 unacc
1 3 4 4 2 2 acc
1 3 4 4 2 3 vgood
1 3 4 4 big 1 unacc
1 3 4 4 big 2 acc
1 3 4 4 big 3 vgood
1 3 4 more small 1 unacc
1 3 4 more small 2 acc
1 3 4 more small 3 acc
1 3 4 more 2 1 unacc
1 3 4 more 2 2 acc
1 3 4 more 2 3 vgood
1 3 4 more big 1 unacc
1 3 4 more big 2 acc
1 3 4 more big 3 vgood
1 3 5more 2 small 1 unacc
1 3 5more 2 small 2 unacc
1 3 5more 2 small 3 unacc
1 3 5more 2 2 1 unacc
1 3 5more 2 2 2 unacc
1 3 5more 2 2 3 unacc
1 3 5more 2 big 1 unacc
1 3 5more 2 big 2 unacc
1 3 5more 2 big 3 unacc
1 3 5more 4 small 1 unacc
1 3 5more 4 small 2 acc
1 3 5more 4 small 3 acc
1 3 5more 4 2 1 unacc
1 3 5more 4 2 2 acc
1 3 5more 4 2 3 vgood
1 3 5more 4 big 1 unacc
1 3 5more 4 big 2 acc
1 3 5more 4 big 3 vgood
1 3 5more more small 1 unacc
1 3 5more more small 2 acc
1 3 5more more small 3 acc
1 3 5more more 2 1 unacc
1 3 5more more 2 2 acc
1 3 5more more 2 3 vgood
1 3 5more more big 1 unacc
1 3 5more more big 2 acc
1 3 5more more big 3 vgood
1 2 2 2 small 1 unacc
1 2 2 2 small 2 unacc
1 2 2 2 small 3 unacc
1 2 2 2 2 1 unacc
1 2 2 2 2 2 unacc
1 2 2 2 2 3 unacc
1 2 2 2 big 1 unacc
1 2 2 2 big 2 unacc
1 2 2 2 big 3 unacc
1 2 2 4 small 1 unacc
1 2 2 4 small 2 acc
1 2 2 4 small 3 good
1 2 2 4 2 1 unacc
1 2 2 4 2 2 acc
1 2 2 4 2 3 good
1 2 2 4 big 1 unacc
1 2 2 4 big 2 good
1 2 2 4 big 3 vgood
1 2 2 more small 1 unacc
1 2 2 more small 2 unacc
1 2 2 more small 3 unacc
1 2 2 more 2 1 unacc
1 2 2 more 2 2 acc
1 2 2 more 2 3 good
1 2 2 more big 1 unacc
1 2 2 more big 2 good
1 2 2 more big 3 vgood
1 2 3 2 small 1 unacc
1 2 3 2 small 2 unacc
1 2 3 2 small 3 unacc
1 2 3 2 2 1 unacc
1 2 3 2 2 2 unacc
1 2 3 2 2 3 unacc
1 2 3 2 big 1 unacc
1 2 3 2 big 2 unacc
1 2 3 2 big 3 unacc
1 2 3 4 small 1 unacc
1 2 3 4 small 2 acc
1 2 3 4 small 3 good
1 2 3 4 2 1 unacc
1 2 3 4 2 2 acc
1 2 3 4 2 3 good
1 2 3 4 big 1 unacc
1 2 3 4 big 2 good
1 2 3 4 big 3 vgood
1 2 3 more small 1 unacc
1 2 3 more small 2 acc
1 2 3 more small 3 good
1 2 3 more 2 1 unacc
1 2 3 more 2 2 good
1 2 3 more 2 3 vgood
1 2 3 more big 1 unacc
1 2 3 more big 2 good
1 2 3 more big 3 vgood
1 2 4 2 small 1 unacc
1 2 4 2 small 2 unacc
1 2 4 2 small 3 unacc
1 2 4 2 2 1 unacc
1 2 4 2 2 2 unacc
1 2 4 2 2 3 unacc
1 2 4 2 big 1 unacc
1 2 4 2 big 2 unacc
1 2 4 2 big 3 unacc
1 2 4 4 small 1 unacc
1 2 4 4 small 2 acc
1 2 4 4 small 3 good
1 2 4 4 2 1 unacc
1 2 4 4 2 2 good
1 2 4 4 2 3 vgood
1 2 4 4 big 1 unacc
1 2 4 4 big 2 good
1 2 4 4 big 3 vgood
1 2 4 more small 1 unacc
1 2 4 more small 2 acc
1 2 4 more small 3 good
1 2 4 more 2 1 unacc
1 2 4 more 2 2 good
1 2 4 more 2 3 vgood
1 2 4 more big 1 unacc
1 2 4 more big 2 good
1 2 4 more big 3 vgood
1 2 5more 2 small 1 unacc
1 2 5more 2 small 2 unacc
1 2 5more 2 small 3 unacc
1 2 5more 2 2 1 unacc
1 2 5more 2 2 2 unacc
1 2 5more 2 2 3 unacc
1 2 5more 2 big 1 unacc
1 2 5more 2 big 2 unacc
1 2 5more 2 big 3 unacc
1 2 5more 4 small 1 unacc
1 2 5more 4 small 2 acc
1 2 5more 4 small 3 good
1 2 5more 4 2 1 unacc
1 2 5more 4 2 2 good
1 2 5more 4 2 3 vgood
1 2 5more 4 big 1 unacc
1 2 5more 4 big 2 good
1 2 5more 4 big 3 vgood
1 2 5more more small 1 unacc
1 2 5more more small 2 acc
1 2 5more more small 3 good
1 2 5more more 2 1 unacc
1 2 5more more 2 2 good
1 2 5more more 2 3 vgood
1 2 5more more big 1 unacc
1 2 5more more big 2 good
1 2 5more more big 3 vgood
1 1 2 2 small 1 unacc
1 1 2 2 small 2 unacc
1 1 2 2 small 3 unacc
1 1 2 2 2 1 unacc
1 1 2 2 2 2 unacc
1 1 2 2 2 3 unacc
1 1 2 2 big 1 unacc
1 1 2 2 big 2 unacc
1 1 2 2 big 3 unacc
1 1 2 4 small 1 unacc
1 1 2 4 small 2 acc
1 1 2 4 small 3 good
1 1 2 4 2 1 unacc
1 1 2 4 2 2 acc
1 1 2 4 2 3 good
1 1 2 4 big 1 unacc
1 1 2 4 big 2 good
1 1 2 4 big 3 vgood
1 1 2 more small 1 unacc
1 1 2 more small 2 unacc
1 1 2 more small 3 unacc
1 1 2 more 2 1 unacc
1 1 2 more 2 2 acc
1 1 2 more 2 3 good
1 1 2 more big 1 unacc
1 1 2 more big 2 good
1 1 2 more big 3 vgood
1 1 3 2 small 1 unacc
1 1 3 2 small 2 unacc
1 1 3 2 small 3 unacc
1 1 3 2 2 1 unacc
1 1 3 2 2 2 unacc
1 1 3 2 2 3 unacc
1 1 3 2 big 1 unacc
1 1 3 2 big 2 unacc
1 1 3 2 big 3 unacc
1 1 3 4 small 1 unacc
1 1 3 4 small 2 acc
1 1 3 4 small 3 good
1 1 3 4 2 1 unacc
1 1 3 4 2 2 acc
1 1 3 4 2 3 good
1 1 3 4 big 1 unacc
1 1 3 4 big 2 good
1 1 3 4 big 3 vgood
1 1 3 more small 1 unacc
1 1 3 more small 2 acc
1 1 3 more small 3 good
1 1 3 more 2 1 unacc
1 1 3 more 2 2 good
1 1 3 more 2 3 vgood
1 1 3 more big 1 unacc
1 1 3 more big 2 good
1 1 3 more big 3 vgood
1 1 4 2 small 1 unacc
1 1 4 2 small 2 unacc
1 1 4 2 small 3 unacc
1 1 4 2 2 1 unacc
1 1 4 2 2 2 unacc
1 1 4 2 2 3 unacc
1 1 4 2 big 1 unacc
1 1 4 2 big 2 unacc
1 1 4 2 big 3 unacc
1 1 4 4 small 1 unacc
1 1 4 4 small 2 acc
1 1 4 4 small 3 good
1 1 4 4 2 1 unacc
1 1 4 4 2 2 good
1 1 4 4 2 3 vgood
1 1 4 4 big 1 unacc
1 1 4 4 big 2 good
1 1 4 4 big 3 vgood
1 1 4 more small 1 unacc
1 1 4 more small 2 acc
1 1 4 more small 3 good
1 1 4 more 2 1 unacc
1 1 4 more 2 2 good
1 1 4 more 2 3 vgood
1 1 4 more big 1 unacc
1 1 4 more big 2 good
1 1 4 more big 3 vgood
1 1 5more 2 small 1 unacc
1 1 5more 2 small 2 unacc
1 1 5more 2 small 3 unacc
1 1 5more 2 2 1 unacc
1 1 5more 2 2 2 unacc
1 1 5more 2 2 3 unacc
1 1 5more 2 big 1 unacc
1 1 5more 2 big 2 unacc
1 1 5more 2 big 3 unacc
1 1 5more 4 small 1 unacc
1 1 5more 4 small 2 acc
1 1 5more 4 small 3 good
1 1 5more 4 2 1 unacc
1 1 5more 4 2 2 good
1 1 5more 4 2 3 vgood
1 1 5more 4 big 1 unacc
1 1 5more 4 big 2 good
1 1 5more 4 big 3 vgood
1 1 5more more small 1 unacc
1 1 5more more small 2 acc
1 1 5more more small 3 good
1 1 5more more 2 1 unacc
1 1 5more more 2 2 good
1 1 5more more 2 3 vgood
1 1 5more more big 1 unacc
1 1 5more more big 2 good
1 1 5more more big 3 vgood
